    123  ant123     -4008.47        1712.34       75.4736
    124  ant124     -3991.42       -1751.73       82.6341
    125  ant125      4008.47       -1712.34      -62.8096
    126  ant126      3991.42        1751.73      -41.6038
    127  ant127     -1521.3         4322.55       50.578
    128  ant128     -1478.67       -4337.32       15.5284
    129  ant129      1521.29       -4322.55      -25.1303
    130  ant130      1478.66        4337.32        6.53128
    131  ant131     -4504.2          843.816      90.8786
    132  ant132     -4495.68        -888.119      95.8786
    133  ant133      4504.2         -843.815     -64.956
    134  ant134      4495.68         888.119     -53.6638
    135  ant135     -3017.01        3449.2        70.4736
    136  ant136     -2982.91       -3478.74       44.0887
    137  ant137      3017.01       -3449.2       -44.0767
    138  ant138      2982.91        3478.74      -13.5095
    139  ant139     -2521.28        4317.63       67.6942
    140  ant140     -2478.65       -4342.24       30.0839
    141  ant141      2521.28       -4317.63      -36.9402
    142  ant142      2478.65        4342.24       -2.54438
    143  ant143      4999.93          24.6133    -67.9901
    144  ant144     -4512.73        2575.85       91.067
    145  ant145     -4487.15       -2620.15       78.8918
    146  ant146      4512.73       -2575.85      -66.3021
    147  ant147      4487.15        2620.15      -33.55
    148  ant148        25.5779     -5196          -5.67209
    149  ant149       -25.5791      5196          31.4736
    150  ant150     -4017           3444.28       91.537
    151  ant151     -3982.9        -3483.66       61.2113
    152  ant152      4017          -3444.28      -55.4833
    153  ant153      3982.89        3483.66      -24.4053
    154  ant154      5008.46       -1707.42      -73.0052
    155  ant155      4991.41        1756.65      -42.8959
    156  ant156     -1025.57        5191.08       46.4709
    157  ant157      -974.409      -5200.93        6.15002
    158  ant158      1025.57       -5191.08      -16.6308
    159  ant159       974.408       5200.93       16.6504
    160  ant160     -3521.27        4312.71       88.3383
    161  ant161     -3478.64       -4347.17       47.48
    162  ant162      3521.27       -4312.71      -41.5264
    163  ant163      3478.64        4347.17      -18.5634
    164  ant164      5504.19        -838.893     -17.7619
    165  ant165      5495.66         893.042      -7.42333
    166  ant166     -2025.55        5186.16       65.4266
    167  ant167     -1974.4        -5205.85       19.1761
    168  ant168      2025.55       -5186.16      -25.3807
    169  ant169      1974.39        5205.85        6.18594
    170  ant170      5999.92          29.536     -15.5057
    171  ant171     -3025.54        5181.24       84.2175
    172  ant172     -2974.38       -5210.77       33.4736
    173  ant173      3025.54       -5181.24      -37.1912
    174  ant174      2974.38        5210.77       -1.90806
    175  ant175     -4982.88       -3488.58       83.1119
    176  ant176      5016.99       -3439.36      -70.1932
    177  ant177      4982.88        3488.58      -30.5154
    178  ant178      5512.72       -2570.93      -79.9256
    179  ant179      5487.14        2625.08        9.97096
    180  ant180      -529.835       6059.51       44.2795
    181  ant181      -470.152      -6064.43        0.53996
    182  ant182       529.834      -6059.51      -11.4909
    183  ant183       470.151       6064.43       28.4967
    184  ant184     -4478.63       -4352.09       66.4736
